[2026-08-02 20:31:55] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:56] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:56] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:56] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:56] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:57] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:57] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:57] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:57] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:58] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:58] [CAM] 摄像头未检测到，等待重连...
[2026-08-02 20:31:58] [CAM] 摄像头捕获器已释放
[2026-08-02 20:31:58] [CAM] 摄像头未检测到，等待重连...
